,HomeAttack,AwayAttack,HomeDefense,AwayDefense
Arsenal,2.085526315789474,1.6546052631578947,0.9013157894736842,1.256578947368421
Aston Villa,1.417004048582996,1.0850202429149798,1.368421052631579,1.6639676113360324
Birmingham,1.0,0.9473684210526315,1.1578947368421053,1.894736842105263
Blackburn,1.263157894736842,1.2105263157894737,1.2894736842105263,2.3157894736842106
Blackpool,1.5789473684210527,1.3157894736842106,1.9473684210526316,2.1578947368421053
Bolton,1.5,1.0789473684210527,1.6578947368421053,1.8421052631578947
Bournemouth,1.3742690058479532,1.2456140350877194,1.4035087719298245,1.9181286549707601
Brentford,1.6736842105263159,1.305263157894737,1.3578947368421053,1.5473684210526315
Brighton,1.3508771929824561,1.1929824561403508,1.280701754385965,1.5146198830409356
Burnley,1.0116959064327486,0.9590643274853801,1.3859649122807018,1.6900584795321638
Cardiff,1.0789473684210527,0.6578947368421053,1.9210526315789473,1.8421052631578947
Chelsea,1.9046052631578947,1.5888157894736843,0.9605263157894737,1.236842105263158
Crystal Palace,1.1862348178137652,1.145748987854251,1.2753036437246963,1.5263157894736843
Everton,1.5032894736842106,1.0657894736842106,1.1611842105263157,1.4342105263157894
Fulham,1.4105263157894736,1.0052631578947369,1.4947368421052631,1.6210526315789473
Huddersfield,0.6842105263157895,0.631578947368421,1.4736842105263157,2.0526315789473686
Hull,1.1754385964912282,0.7192982456140351,1.4035087719298245,1.8245614035087718
Ipswich,0.7368421052631579,1.1578947368421053,2.3157894736842106,2.0
Leeds,1.3421052631578947,1.3026315789473684,1.5394736842105263,1.9736842105263157
Leicester,1.4947368421052631,1.4,1.2526315789473683,1.694736842105263
Liverpool,2.1578947368421053,1.792763157894737,0.8519736842105263,1.319078947368421
Luton,1.4736842105263157,1.263157894736842,1.9473684210526316,2.526315789473684
Man City,2.6184210526315788,1.917763157894737,0.805921052631579,0.9703947368421053
Man United,1.9046052631578947,1.513157894736842,0.9802631578947368,1.2598684210526316
Middlesbrough,0.8947368421052632,0.5263157894736842,1.2105263157894737,1.5789473684210527
Newcastle,1.5894736842105264,1.1017543859649124,1.2736842105263158,1.6631578947368422
Norwich,1.1140350877192982,0.7192982456140351,1.5614035087719298,2.0526315789473686
Nott'm Forest,1.3157894736842106,1.2236842105263157,1.2236842105263157,1.8289473684210527
QPR,1.0526315789473684,0.9649122807017544,1.3508771929824561,2.1403508771929824
Reading,1.2105263157894737,1.0526315789473684,1.736842105263158,2.1052631578947367
Sheffield United,0.9649122807017544,0.6842105263157895,1.736842105263158,1.8771929824561404
Southampton,1.3245614035087718,1.0526315789473684,1.4342105263157894,1.6491228070175439
Stoke,1.3289473684210527,0.8157894736842105,1.1644736842105263,1.611842105263158
Sunderland,1.131578947368421,0.9868421052631579,1.256578947368421,1.6907894736842106
Swansea,1.3458646616541354,0.9548872180451128,1.2781954887218046,1.6015037593984962
Tottenham,1.8289473684210527,1.625,1.0888157894736843,1.381578947368421
Watford,1.2017543859649122,0.956140350877193,1.5789473684210527,1.7719298245614035
West Brom,1.2514619883040936,0.9590643274853801,1.4385964912280702,1.608187134502924
West Ham,1.4701754385964911,1.1578947368421053,1.4175438596491228,1.6526315789473685
Wigan,1.2280701754385965,1.0350877192982457,1.7543859649122806,1.6842105263157894
Wolves,1.2421052631578948,0.968421052631579,1.4684210526315788,1.631578947368421
